,tweet_id,text,num_likes,date,author,Label,cluster,x,y,model_minority
0,1244783734471221248,$Loge318 https://t.co/0jZhSH3Kv5,0,2020-03-31 00:29:03,1loge_318,Counterhate,4,8.605054,6.3845034,0
1,1244783796253327361,@sethmoulton is an embarrassment  to Massachusetts for his position on the COVID19 virus. He  is still using the term xenophobic about Trump calling this the Chinese virus. Didn’t he ever hear of the German measles and the Asian flu? He’s a wack job!  Almost as crazy as NYs AOC!,0,2020-03-31 00:29:18,edieazz,Counterhate,4,9.807098,-0.66035897,0
2,1244790368752803842,"When you worry about “upsetting the leader,” bad shit happens. China isn’t the only place where people don’t like to “upset the [fake] leader.” https://t.co/i4F5YsLiff",0,2020-03-31 00:55:25,slowpaddler,Counterhate,4,9.157195,0.5627395,1
3,1244791434370322434,"@MarkLevineNYC we aren’t calling it the Chinese virus because it hasn’t been called the Chinese virus except for random people trying to create problems. If it was called that from the beginning then cool, but it wasn’t. It has a name, coronavirus.",0,2020-03-31 00:59:39,_rosemart,Counterhate,4,8.082852,-0.8154843,1
4,1244793635952111617,Our ProMedica nurses are second to NONE!!!!  Much love and respect to all of you!!! @ProMedicaHealth #likeanurse https://t.co/HWoAGbXC4d,18,2020-03-31 01:08:24,dsievert92,Counterhate,4,9.60037,5.1621547,0
5,1244797163802148864,"In honor of #NationalDoctorsDay, we’ll start with this one: 

""Please, for all of the health care workers that are—and will—continue to risk their lives, make people stay home.""  —Johanna, Des Moines #coronavirus #medtwitter",2,2020-03-31 01:22:25,IowaVoices,Counterhate,4,11.369124,3.2708557,0
6,1244798694865715202,"Please remember this as the majority of us start #remotelearning tomorrow.  This isn't homeschooling, but #crisisschool  Take care of your kids minds and hearts
https://t.co/SURpWw1O64",0,2020-03-31 01:28:30,MrsSchwerman,Counterhate,4,11.433124,3.0520906,0
7,1244806319699374086,"@GovRonDeSantis Your lack of leadership &amp; action for Floridians is appalling. Don’t pretend to acknowledge the MDs working with Covid-19 patients, while refusing a stay-in-place order. It’s insulting. You’re ignorant like your president. You should be ashamed.",0,2020-03-31 01:58:48,mary08307745,Counterhate,4,10.73954,0.6533077,0
8,1244808803297697792,SUPPORT THE WORKERS!  https://t.co/DUclOQs6Hd,0,2020-03-31 02:08:40,ProgressiveAPIs,Counterhate,4,9.451255,6.4351554,0
9,1244810753783271425,@TimRunsHisMouth @RepMaxineWaters US is #1 in COVID-19 infections because of the corruption &amp; incompetence of administration &amp; Repub Party.  Inexcusable that greatest nation on earth is not THE example 4 the world to emulate.  Singapore followed by S. Korea are.  US is example of how to fail.  Cause = Republican,2,2020-03-31 02:16:25,drnormanwho,Counterhate,4,9.327413,1.5650043,0
10,1244811420505702401,@jkd_jill @RepMaxineWaters Some FACTS aren't nice: US is #1 in COVID-19 infections because of corruption &amp; incompetence of administration &amp; Repub Party.  Inexcusable that greatest nation on earth is not THE example 4 the world to emulate.  Singapore followed by S. Korea are.  US is example of how to fail.,1,2020-03-31 02:19:04,drnormanwho,Counterhate,4,9.20714,1.5226219,0
11,1244811885356167171,"As sad and infuriating as this sounds, I hate to say that it is true! How dare you downplay something like this?! @realDonaldTrump and then you attack reporters that repeat your own disgraceful words back to you! Your inaction has lead to unnecessary death &amp; spread of this virus! https://t.co/iSgZ4LubHP",0,2020-03-31 02:20:55,DraneBerisha1,Counterhate,4,10.487059,0.5739695,0
12,1244818509269315589,"""#learning is never ending process, as now #india is relearning it's vedic living skill, in which personal hygiene  as well as social hygeine are practiced with prior most character and moral hygiene!""
- any epidemic , #COVID19 is also not exception, is result of violation of it.",0,2020-03-31 02:47:14,RajeshK47186688,Counterhate,4,9.779685,1.8012261,0
13,1244820711312461824,Boycott @MyPillowUSA https://t.co/rWJfHiOtFf,1,2020-03-31 02:55:59,klmichaud,Counterhate,4,9.223258,4.279277,0
14,1244822317169029120,"#Christianity Offers No Answers About the #Coronavirus. It's Not Supposed To. #COVID19
https://t.co/i8gkBgNoLy",0,2020-03-31 03:02:22,semukanyam,Counterhate,4,9.209953,4.2279696,0
15,1244842080351875074,"@sundarpichai @JohnsHopkins @WorldBank @openstreetmap Can google create a simple GPS based COVID19  tracker using self declaration 4 symptoms (which needs 2 b predefined which an user can tick) This will create awareness amongst people. Yes, it will not be 100% but atleast directionally a support to the entire exercise of tracking.",0,2020-03-31 04:20:54,subashca,Counterhate,4,10.640229,3.2990854,0
16,1244842416336707586,Yo I’ve been swabbed for the flu before and FUCK THAT SHIT it is painful and makes you tear up for so long 😥😅 https://t.co/gRbgLBUMck,1,2020-03-31 04:22:14,Kswiss96_,Counterhate,4,7.4109435,2.8222914,0
17,1244845146929274886,"Asians are fearfully and wonderfully created in God’s Image worthy of love, care, and protection. They don’t deserve to be dehumanized and stabbed because some falsely correlate the coronavirus (COVID-19) with the “Chinese virus.” This is evil. https://t.co/rGkbpawEZZ",38,2020-03-31 04:33:05,Rondell_Trevino,Counterhate,4,9.759523,0.32444787,0
18,1244859194215297025,Hope this helps https://t.co/S0Jhz2B4TK,0,2020-03-31 05:28:54,TheLgndrySummit,Counterhate,4,10.071172,6.111415,0
19,1244872518478860290,"Take a note, everyone! #StayHomeSaveLives https://t.co/C5DFjibmqB",0,2020-03-31 06:21:51,shivammax,Counterhate,4,9.719762,4.8537006,0
20,1244872842556121090,"It’s fucked up that this dipshit with a massive platform can’t read a chart, but it’s even more fucked up that she left the tweet up 6 days later because she knows that her pudding-brain supporters literally won’t even open it and will just believe her actual lie of a caption https://t.co/sInWW9M4RH",5,2020-03-31 06:23:08,scottcryptodira,Counterhate,4,9.110046,1.6256282,1
21,1244880831509934081,"@robtruthseeker @Unathi_Kwaza @JohnKani2 That's the problem. With people.  They're too lazy to discern.
Just because a bunch of people attacked whites on Twitter, does not mean all of blacktwitter feel the same. 
Some of us ""blacktwitter"" folk fight racism from all sides!
Help fight COVID-19 where you can or want to...",0,2020-03-31 06:54:53,8mmSA,Counterhate,4,10.030674,0.477753,0
22,1244882573026787328,@seyimyname Ke? Pray for speedy recovery https://t.co/zMGQp47ooz,0,2020-03-31 07:01:48,soetan46017353,Counterhate,4,9.426505,5.371525,0
23,1244882744741593088,@NYGovCuomo this is an insult to every woman and child! This is an absolute disrespect to our gender. Unacceptable! https://t.co/kJ1Gj8LQNa,0,2020-03-31 07:02:29,TugceChristoul1,Counterhate,4,10.080921,0.7101656,0
24,1244884104409018368,“show benevolence rather than bias” https://t.co/yoTWU4YN0p,0,2020-03-31 07:07:53,EnpLaw,Counterhate,4,10.42353,5.2994432,0
25,1244893195940409344,आज fried rice. Quick and easy to prepare and delicious! #asian #chinesefood #covid19 https://t.co/SdD0l04voF,50,2020-03-31 07:44:01,binitashah4,Counterhate,4,8.620853,3.0365584,0
26,1244896564872540166,Vigilance against Covid-19 is a must and so should be against China.,1,2020-03-31 07:57:24,Nauliwal,Counterhate,4,9.589417,4.016629,0
27,1244897387342004224,"There will be too many cruel and unfair stories like this one. CoVID-19 doesn’t discriminate based on what you do or who you are… in this case… robbing the life of someone who had saved so many… my friend and fellow neurosurgeon, Dr James Goodrich. Please Rest In Peace. https://t.co/LTjp6eUFPN",1,2020-03-31 08:00:40,MLioney,Counterhate,4,11.140352,0.7464651,1
28,1244906517452767233,Take a look at our brand new #AutismAcceptance website! https://t.co/77Oxu5HaMP 💻 https://t.co/0dBmL0ZUad,3,2020-03-31 08:36:57,NEAutismSociety,Counterhate,4,9.730468,5.908673,0
29,1244909311257718785,Now 51 positives from 91 samples is alarming. Thats 51% https://t.co/9cmkTgOXHy,0,2020-03-31 08:48:03,theomarbotah,Counterhate,4,10.515334,2.754926,0
30,1244919697172312065,We need to share and keep positive attitude while we fight the #COVID19 war. #TakeResponsibility https://t.co/dmXmHp67kF,2,2020-03-31 09:29:19,AbiolaOshunniyi,Counterhate,4,10.438176,4.74465,0
31,1244919754692997121,I truly can’t stand that racist. https://t.co/6UFCf4Jefg,0,2020-03-31 09:29:33,issashaything,Counterhate,4,7.3811617,2.7563493,0
32,1244921134941794305,"One message of #COVID19 (Caused by #SARSCoV2)is very very clear:  we should not believe WHO at all, the organization that does not know the basic rule of any #epidemic : unless definitely proved otherwise, human to human transmission is to be assumed &amp; preventive measures taken.",13,2020-03-31 09:35:02,sammodacharya,Counterhate,4,10.723026,1.2961774,0
33,1244933563474235399,"Shii is increasing on a daily basis
Be safe https://t.co/W0w9keKw4B",0,2020-03-31 10:24:25,ajifolajifaola7,Counterhate,4,10.43899,5.093212,0
34,1244936558387646466,This is not anywhere near implementing a curfew for the benefit of the citizens and country. Killing a 13 year old at home is unacceptable! @lawsocietykenya @NelsonHavi @flavian_mulama @ItsOchieng @StanKinyanjui #COVID19 https://t.co/V9HxDtnwxM,15,2020-03-31 10:36:19,javiermunzala,Counterhate,4,9.263151,3.5882668,0
35,1244939459864539137,"@surnell When they were taken to hospital in special bus they were seen spitting outside from window of bus. Disgusting.

https://t.co/ZTmdBZ07ag",0,2020-03-31 10:47:51,sarjukalaria,Counterhate,4,7.6655493,3.4248505,0
36,1244940085101027329,Fat prat https://t.co/aqKUVXlWEX,0,2020-03-31 10:50:20,AlanMontgomery_,Counterhate,4,8.880573,5.237115,0
37,1244945185458417669,"@srivatsayb IT'S SHOULD NOT BE COVID TEST 
 
LET'S SAY 

""CORONA VIRUS IS A CHINESE VIRUS""

RETWEET AND SHARE 👍👍
🙏🙏🙏🙏",0,2020-03-31 11:10:36,TAniketRao1,Counterhate,4,9.530248,3.3847778,0
38,1244945285773549570,"Have just seen a clip on commercial TV of two women racially vilifying two teenagers of Vietnamese heritage because of COVID19.
I’m ashamed. Such overt abuse and discrimination needs gaol time so the perpetrators have time to reflect on the harm done.
#AntiAsianRacism #racism",0,2020-03-31 11:11:00,TrueRedJo,Counterhate,4,9.831144,0.56993127,0
39,1244951551719940098,And ofcourse the incompetent #modiji https://t.co/rPE9IvL1Nr,1,2020-03-31 11:35:54,fahdkhan112,Counterhate,4,9.371741,4.86983,0
